nickname, Score
4evernuts,0.89
AVK,0.156
Alexey,0.961
AlexeyPushchin,0.423
BLAR,0.997
Claire,0.423
Drzhvo,0.39
GK108,0.967
GazizovK,1.005
IuriiM,0.05
Kjack,0.656
NatalyL,0.025
NickGorev,0.995
Serguarr,0.995
acherpakova,0.994
adrianovalexey,0.917
aleks0309,0.954
alexnich,0.987
alexprozoroff,1.005
amanbaev,0.993
andrewgolman,0.974
andrian,0.991
anmu,0.94
anubo,0.896
arseniyb,1.023
art,0.973
badbul,1.026
behemoth,0.993
bfhlnd,0.05
cat93,0.13
cheburum,1.025
d,0.985
dankin,1.008
dniwelive,0.971
dsvirchkov,0.99
dunkster29,1.003
dzmitrykavaliou,0.423
emashkin,1.011
example,0.917
fclmden92,0.973
g,0.983
geitursdottir,0.942
hell03end,0.35
idm,1.016
ikurenkov,0.623
ilgiza,0.995
irkhin,0.423
josdas,0.992
justize,0.05
k,0.615
kharasov,0.025
kiramipt,0.05
korobov,1.005
kulikovpavel,0.926
lepraleprosy,1.014
lobster2008,0.051
lugark,0.978
mariyachaplygina,1.015
maryjis,0.987
matiiv,0.423
matseevski,0.971
meteora,0.625
morozyto,0.953
mrrukosueva,0.423
msetkin,0.953
mvsamsonov,0.98
mxsnq,1.022
ni,0.985
nikolaev,1.012
nizhikebinesi,0.05
noobinaction,0.903
oak,0.423
obukhov,0.988
odzhaev,0.025
p51h147r,0.995
pavelevap,0.976
pavlovskaya,0.025
pitkun,1.049
polosataya,0.993
ra,0.963
rubenru,0.896
rumyancevandr,0.936
rvefimov,0.05
sharctgx,0.923
shikunov,0.423
sirius999999,0.05
skoret,0.898
smirnovis,0.978
sochenkova,0.05
sowow359,0.994
stable,0.953
stas,0.992
strelnikoff,1.003
szee,1.007
tutuka,0.997
universaw,0.502
ushakova,0.978
vonavip,0.99
vvyadrincev,0.984
wafemand,0.025
yarriz,0.994
zamyatina.mariya,1.02
zaykov,0.993
zhekalat,1.017
