nickname, Score
0.78,0.95
4evernuts,0.96
AVK,0.97
Alexey,1.0
AlexeyPushchin,0.95
BLAR,1.0
Banhammer,0.96
Claire,0.95
DabudiDabudai,0.025
Drzhvo,0.96
GK108,1.0
GazizovK,0.99
IuriiM,0.98
Ivanov,0.025
Kjack,1.01
LuckyRusher,0.96
M,1.0
NatalyL,0.99
NickGorev,1.03
Resolvation,0.95
Serguarr,1.02
Vad11k,0.025
acherpakova,1.01
adrianovalexey,1.03
aleks0309,1.01
aleksandr.v.kim,0.025
alexnich,1.0
alexprozoroff,0.88
amanbaev,0.99
andrewgolman,1.0
andrian,1.0
answer.iii3iii@gmail.com,0.96
anubo,0.97
arseniyb,0.97
art,0.025
asinrus,1.0
badbul,1.04
behemoth,1.0
bfhlnd,0.025
cat93,0.95
cheburum,0.98
d,0.97
dankin,1.0
dniwelive,1.0
dsvirchkov,0.92
dunkster29,0.025
dzmitrykavaliou,0.94
efim,0.99
eliseygusev,0.95
emashkin,1.05
example,0.91
fclmden92,0.025
g,1.0
gagalaga,0.94
geitursdottir,0.93
glk,0.94
hell03end,0.025
idm,1.05
ikurenkov,0.025
ilgiza,1.03
isya,0.98
josdas,1.0
justize,0.96
k,0.99
kharasov,0.99
kiramipt,0.99
kirillix,0.025
korobov,0.99
kulikovpavel,0.98
ldinka,1.0
lepraleprosy,1.05
lobster2008,0.86
lugark,0.025
mariyachaplygina,0.025
maryjis,0.93
matiiv,0.98
matseevski,1.01
meteora,0.97
mikhalev,0.96
mikhno,0.95
morozyto,0.94
mrrukosueva,0.99
msetkin,0.93
mvsamsonov,1.04
mxsnq,0.86
ni,0.99
nikolaev,1.02
nizhikebinesi,0.025
noobinaction,0.98
oak,0.97
obukhov,1.0
odzhaev,0.99
otrokov,0.94
p51h147r,1.0
params,0.95
pavelevap,0.98
pavlovskaya,0.93
pitkun,1.05
podzharaya,0.94
polosataya,0.98
ra,0.94
romanovskaia,0.025
rpeskov,0.025
rubenru,0.97
rumyancevandr,1.04
rvefimov,1.01
sharctgx,0.95
shikunov,1.01
sirius999999,1.0
skoret,0.98
smail,0.88
smirnov,0.94
smirnovis,0.98
sochenkova,0.94
sowow359,0.025
spknnk,1.0
stable,0.97
stas,0.99
strelnikoff,0.025
szee,0.98
t,0.93
tutuka,0.96
universaw,1.03
ushakova,0.98
vonavip,1.0
vvyadrincev,0.94
wafemand,0.96
yarriz,0.025
zamyatina.mariya,0.95
zaykov,0.99
zhekalat,0.025
