nickname, Score
,0.06
4evernuts,0.48
AVK,0.16
BLAR,0.37
DabudiDabudai,1.2
GK108,0.16
GazizovK,1.26
IuriiM,0.15
Serguarr,0.09
aleks0309,0.75
aleksandr,1.16
aleksandr.v.kim,0.45
alexnich,0.16
alexprozoroff,0.05
anasochenkova,0.16
anubo,0.64
arseniyb,0.16
art,0.18
asinrus,0.18
badbul,0.55
behemoth,1.07
cheburum,0.87
dankin,0.05
dsvirchkov,0.72
dunkster29,0.37
eliseygusev,1.22
emashkin,0.14
example,0.89
fclmden92,0.24
gagalaga,0.16
geitursdottir,1.07
hell03end,0.64
idm,0.66
ilgiza,0.13
josdas,1.25
justize,0.16
k,0.79
korobov,1.27
kulikovpavel,0.61
lugark,1.07
mariyachaplygina,0.88
maryjis,0.91
matiiv,0.17
matseevski,0.66
mvsamsonov,0.98
ni,0.36
nikolaev,1.27
nyappa,0.16
oak,0.46
p51h147r,0.11
pavelevap,0.05
pavlovskaya,0.78
pitkun,1.1
polosataya,0.05
rumyancevandr,0.51
sharctgx,0.16
sowow359,0.16
spknnk,0.16
stas,0.05
strelnikoff,0.05
szee,0.24
t,0.05
trofimov,0.16
tutuka,0.05
vonavip,0.12
yarriz,0.16
zhekalat,0.16
