nickname, Score
,0.05
4evernuts,0.73
AVK,1.37
BLAR,1.27
Banhammer,1.31
DabudiDabudai,0.4
DmitrySolntsev,0.23
GK108,1.28
GazizovK,0.75
IuriiM,0.05
NatalyL,0.2
Serguarr,1.32
acherpakova,0.31
adrianovalexey,1.3
aleks0309,1.28
aleksandr,0.38
aleksandr.v.kim,1.32
alexeygb,0.05
alexnich,0.05
alexprozoroff,1.31
anasochenkova,0.05
andrewgolman,1.34
andrian,1.04
anubo,1.29
arseniyb,0.16
art,0.32
asinrus,0.05
badbul,0.93
behemoth,0.05
cheburum,1.34
dniwelive,0.28
dsvirchkov,1.29
dunkster29,1.34
eliseygusev,0.28
emashkin,1.32
example,0.77
fclmden92,0.32
g,0.15
gagalaga,0.05
geitursdottir,0.05
hell03end,0.75
idm,0.05
ilgiza,1.34
josdas,0.05
justize,0.05
k,1.33
kiramipt,1.28
kirillix1994,0.05
korobov,0.75
kulikovpavel,1.25
lepraleprosy,1.28
lugark,0.05
mariyachaplygina,1.32
maryjis,0.05
matiiv,0.1
matseevski,1.29
mrrukosueva,0.05
mvsamsonov,1.06
mxsnq,1.37
ni,1.33
nikolaev,1.35
nyappa,0.05
oak,1.29
odzhaev,0.55
p51h147r,1.28
pavelevap,0.05
pavlovskaya,1.28
pitkun,1.32
polosataya,0.05
rumyancevandr,0.05
sharctgx,0.42
skoret,1.28
sowow359,1.31
spknnk,0.05
stas,0.23
strelnikoff,0.05
szee,0.05
trofimov,0.05
tutuka,0.05
vonavip,0.05
yarriz,1.31
zamyatina.mariya,1.33
zhekalat,0.9
