nickname, Score
4evernuts,0.42
AVK,0.91
BLAR,0.89
Banhammer,0.98
DabudiDabudai,0.79
DmitrySolntsev,0.63
GK108,0.81
GazizovK,0.91
IuriiM,0.75
M,0.57
NatalyL,0.05
Romanovskaia,0.67
Serguarr,0.94
acherpakova,0.76
adrianovalexey,1.02
aleks0309,0.5
aleksandr,0.54
aleksandr.v.kim,1.01
alexeygb,0.91
alexeypushchin,0.73
alexnich,0.68
alexprozoroff,0.94
anasochenkova,0.87
andrewgolman,0.95
andrian,0.9
anubo,0.75
arseniyb,0.77
art,0.34
asinrus,0.93
badbul,0.9
behemoth,0.05
cheburum,0.76
claire,0.73
dankin,1.07
dniwelive,0.85
dsvirchkov,1.01
dunkster29,1.01
eliseygusev,0.67
emashkin,1.06
example,0.79
fclmden92,0.34
g,0.62
gagalaga,0.87
geitursdottir,0.69
hell03end,0.85
idm,0.99
ilgiza,0.76
isya,0.56
josdas,0.82
justize,0.74
k,0.78
kiramipt,0.83
kirillix1994,0.05
korobov,0.14
kulikovpavel,0.54
lepraleprosy,0.9
lobster2008,0.6
lugark,0.05
mariyachaplygina,0.94
maryjis,0.84
matiiv,0.65
matseevski,0.05
mrrukosueva,0.95
mvsamsonov,1.06
mxsnq,1.01
ni,1.04
nikolaev,1.04
nyappa,0.87
oak,0.77
odzhaev,0.05
p51h147r,0.92
pavelevap,1.1
pavlovskaya,0.68
pitkun,1.01
polosataya,0.96
result,0.69
rumyancevandr,0.99
science,0.88
sharctgx,0.62
skoret,1.01
smirnov,0.14
sowow359,0.14
spknnk,0.76
stas,0.8
strelnikoff,0.94
szee,1.07
t,0.38
trofimov,0.87
tutuka,1.12
vonavip,0.8
yarriz,0.82
zamyatina.mariya,0.84
zhekalat,0.6
